"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HK3",-1.66257420456437,2.38597814833771,-12.3590347496488,2.92545719485104e-31,4.8929133572631e-30,59.9021778221942
"C19orf48",1.24949440642836,3.63720150386129,12.3555258832508,3.02793949862831e-31,5.05973078538905e-30,59.8679845496515
"MCM2",1.5284923123035,3.23406238017953,12.3531828658687,3.09835302473048e-31,5.172707384636e-30,59.8451553864434
"BNIP2",-0.741832782442564,3.11012573201042,-12.347229970979,3.28466924813635e-31,5.47880454698186e-30,59.787164666715
"TNFSF12",-1.10524889043095,3.9202147935271,-12.3422513970292,3.44902417977563e-31,5.74775050302628e-30,59.7386777897375
"HSH2D",1.15950051275205,2.73972142398783,12.3368902240877,3.63517207464109e-31,6.05249588745296e-30,59.6864773762043
"ABCC3",2.07425905113755,4.20169622664571,12.3346039092249,3.71756662216755e-31,6.18093870299845e-30,59.6642200825093
"TROAP",1.62053308633875,1.75865353669841,12.3345641258316,3.71901667407214e-31,6.18093870299845e-30,59.6638328119684
"TMEM79",0.918230457508137,2.06125229743979,12.3342855362964,3.72918667899248e-31,6.1922624531101e-30,59.6611209086834
"MRTO4",0.897407600720638,3.99263402164262,12.3326061378687,3.79108272577677e-31,6.28937896808722e-30,59.6447737151194
"GNPNAT1",1.19258472330021,3.25996353796473,12.332230993374,3.8050481975239e-31,6.3068759342247e-30,59.6411222503176
"POLG2",0.884327814484771,2.05694616002778,12.3306437206006,3.86470634624822e-31,6.40000921683907e-30,59.6256732593091
"CYP27A1",-1.79614450711842,4.39744726642412,-12.3296828106088,3.90127389497901e-31,6.45477137350429e-30,59.6163212419433
"PARP1",0.938330032857372,4.68054310123089,12.3257376615639,4.05505144906519e-31,6.70318899035436e-30,59.5779296594148
"POLR2D",0.669855384646371,3.23246215095138,12.3214084769399,4.23074825568684e-31,6.98736292040383e-30,59.5358090797587
"ARHGEF39",0.787680640942369,0.966706370062683,12.3212459015777,4.23749184857926e-31,6.99224057447139e-30,59.5342274779981
"GJB2",2.54478674433141,2.93071915349786,12.3204646012243,4.2700495757549e-31,7.03966707538216e-30,59.5266268268728
"EXOC3L1",-0.784907386479704,1.46009691690524,-12.3184910938666,4.3534009690577e-31,7.17067331046218e-30,59.5074293827623
"BCL9",1.11062494502902,3.03426927211771,12.3150280123312,4.50359747646984e-31,7.41145104780692e-30,59.4737462968916
"AATK",-1.51081116656909,1.48525511379842,-12.3122121520813,4.6295166346735e-31,7.61188260930987e-30,59.4463623455177
"NDC80",1.45611531095775,1.74871250099618,12.3111524016494,4.67780862966067e-31,7.68443576135174e-30,59.4360573213516
"CLIC3",-2.26530874215066,3.69993297250575,-12.310617965953,4.70235229059045e-31,7.71788212249222e-30,59.4308606580992
"TPBG",1.26785152410152,2.5960374120091,12.3094167324143,4.7579870688439e-31,7.8022529285362e-30,59.4191807662364
"KRT80",1.88669278547495,3.39979770957053,12.3086801548592,4.79242495606331e-31,7.85174561185222e-30,59.4120191665787
"DARS2",1.02860609986461,3.27430995945985,12.2998298653052,5.2261282086564e-31,8.55471279443596e-30,59.3259889619492
"SUSD2",-3.13505238472488,4.24605647113921,-12.2942797159679,5.51781646038522e-31,9.02417358698462e-30,59.2720564462234
"GIMAP5",-0.656135988016509,0.557235834676352,-12.275783536538,6.61194355545381e-31,1.08039977600542e-29,59.0924254244406
"CDK1",1.67878434864312,2.8291748693851,12.2723206113385,6.83959377101026e-31,1.1166090786513e-29,59.058811691145
"SEMA4B",1.45821406263801,4.57244098414155,12.2662016857184,7.26108014358129e-31,1.18437141015727e-29,58.999430324611
"COL3A1",2.40702963391365,7.50089143145771,12.2625096276349,7.52780016316247e-31,1.22679202659029e-29,58.9636089312738
"LIFR",-1.54948969188457,2.65269056819671,-12.2586276414799,7.81876159900255e-31,1.27308485417828e-29,58.9259515730515
"PLLP",-1.41016340801628,2.11734221098744,-12.2533358767002,8.23349562982074e-31,1.33943145836802e-29,58.8746297878329
"MAP3K3",-0.859723241036837,2.91754320338598,-12.2492765311271,8.56641671234605e-31,1.39236348466396e-29,58.8352692794906
"CRIM1",-1.32304457622266,3.65128454913447,-12.2387363836347,9.49473418872401e-31,1.54189134078856e-29,58.7331046757898
"SLC27A3",-1.17506497283479,2.86157113337182,-12.2339235479717,9.95127905562965e-31,1.61461034316848e-29,58.6864714008047
"FILIP1",-1.28553420374162,1.38173145700327,-12.2320127070089,1.01385418383558e-30,1.64066508626305e-29,58.6679595527759
"TACC3",1.28952576672658,2.88299933034447,12.2304548117847,1.02938078617034e-30,1.66433100291589e-29,58.6528682222746
"NDRG2",-1.42702835341342,2.60621463379005,-12.2261307169889,1.07372744911635e-30,1.73451173216273e-29,58.6109865991902
"NFS1",0.608049169643202,2.3243945001366,12.2257273181189,1.07796030838333e-30,1.73982605153593e-29,58.6070798643144
"FLRT3",-1.97296191648777,3.03938806875939,-12.2205003314099,1.13433227242605e-30,1.82920994420592e-29,58.5564656819535
"MYO7A",0.915407813520331,1.31848853283652,12.2195977900577,1.14435880231309e-30,1.84376691572681e-29,58.5477274352858
"KRTCAP2",0.926199847577252,3.00146284525013,12.2183395793858,1.15848388835794e-30,1.86218012461652e-29,58.535546290306
"PPBP",-1.82739925964395,1.05269101413036,-12.2183102268673,1.1588154721703e-30,1.86218012461652e-29,58.5352621278205
"MYH10",-1.40914546823173,3.65576425411631,-12.2167658626078,1.17639541429372e-30,1.88878525699657e-29,58.5203116606164
"FAM86C1",0.630708444612538,1.69357584766577,12.202138952851,1.35663202230218e-30,2.17438293200961e-29,58.3787683202305
